year,state,cause,sum(deaths)
2016,Florida,Cancer,44266
2015,United States,Suicide,44193
2016,New York,Heart disease,44076
2013,New York,Heart disease,44039
2015,Florida,Cancer,44027
2005,United States,Kidney disease,43901
2012,New York,Heart disease,43795
2016,Texas,Heart disease,43772
2002,Texas,Heart disease,43452
1999,Texas,Heart disease,43418
2015,Texas,Heart disease,43298
2014,Florida,Cancer,43212
2001,Texas,Heart disease,43199
2014,New York,Heart disease,43116
2000,Texas,Heart disease,43020
2014,United States,Suicide,42826
2013,Florida,Cancer,42735
2013,Florida,Heart disease,42656
2004,United States,Kidney disease,42480
2003,United States,Kidney disease,42453
2007,Florida,Heart disease,42254
2012,Florida,Cancer,42188
2012,Florida,Heart disease,42125
2008,Florida,Heart disease,42067
2003,Texas,Heart disease,41779
2010,Florida,Heart disease,41737
1999,Pennsylvania,Heart disease,41707
2011,Florida,Cancer,41681
2014,Texas,Heart disease,41479
2010,Florida,Cancer,41467
2009,Florida,Heart disease,41274
2013,United States,Suicide,41149
2002,United States,Kidney disease,40974
2009,Florida,Cancer,40932
2011,Florida,Heart disease,40919
2008,Florida,Cancer,40814
2000,Pennsylvania,Heart disease,40708
2012,United States,Suicide,40600
2005,Florida,Cancer,40592
2006,Florida,Cancer,40415
2013,Texas,Heart disease,40203
2004,Texas,Heart disease,40196
2016,Texas,Cancer,40195
2005,Texas,Heart disease,40152
2007,Florida,Cancer,40088
2004,Florida,Cancer,39840
2011,United States,Suicide,39518
2001,United States,Kidney disease,39480
2001,Pennsylvania,Heart disease,39438
2003,Florida,Cancer,39404
2000,Florida,Cancer,39183
2002,Florida,Cancer,39140
2015,Texas,Cancer,39121
2001,Florida,Cancer,39090
2012,Texas,Heart disease,39061
2007,Texas,Heart disease,38912
2002,Pennsylvania,Heart disease,38852
2014,Texas,Cancer,38847
2006,Texas,Heart disease,38782
1999,Florida,Cancer,38478
2013,Texas,Cancer,38412
2008,Texas,Heart disease,38384
2010,United States,Suicide,38364
2010,Texas,Heart disease,38253
2012,Texas,Cancer,38142
2011,Texas,Heart disease,38094
2009,Texas,Heart disease,38077
2003,Pennsylvania,Heart disease,38075
1999,New York,Cancer,37609
2011,Texas,Cancer,37351
2000,United States,Kidney disease,37251
2000,New York,Cancer,37198
2001,New York,Cancer,36975
2009,United States,Suicide,36909
2010,Texas,Cancer,36717
2002,New York,Cancer,36661
2004,Pennsylvania,Heart disease,36434
2003,New York,Cancer,36238
2005,Pennsylvania,Heart disease,36207
2004,New York,Cancer,36100
2008,United States,Suicide,36035
2012,New York,Cancer,35882
2013,New York,Cancer,35738
2008,Texas,Cancer,35713
2009,Texas,Cancer,35591
2005,New York,Cancer,35556
1999,United States,Kidney disease,35525
2007,New York,Cancer,35485
2011,New York,Cancer,35469
2010,New York,Cancer,35431
2014,New York,Cancer,35392
2016,New York,Cancer,35368
2008,New York,Cancer,35351
2006,New York,Cancer,35284
2009,New York,Cancer,35216
2015,New York,Cancer,35089
2007,Texas,Cancer,35074
2006,Texas,Cancer,34939
2007,United States,Suicide,34598
2005,Texas,Cancer,34291
2002,Texas,Cancer,34164
2004,Texas,Cancer,33937
2003,Texas,Cancer,33867
2006,Pennsylvania,Heart disease,33744
2001,Texas,Cancer,33488
1999,Illinois,Heart disease,33387
2008,Pennsylvania,Heart disease,33308
2006,United States,Suicide,33300
2000,Texas,Cancer,33300
1999,Ohio,Heart disease,33192
2007,Pennsylvania,Heart disease,32862
1999,Texas,Cancer,32755
2000,Ohio,Heart disease,32722
2005,United States,Suicide,32637
2001,Ohio,Heart disease,32453
2004,United States,Suicide,32439
2009,Pennsylvania,Heart disease,32297
2015,Pennsylvania,Heart disease,32042
2016,Pennsylvania,Heart disease,31990
2011,Pennsylvania,Heart disease,31934
2000,Illinois,Heart disease,31844
2002,United States,Suicide,31655
2013,Pennsylvania,Heart disease,31629
2010,Pennsylvania,Heart disease,31556
2003,United States,Suicide,31484
2002,Ohio,Heart disease,31388
2014,Pennsylvania,Heart disease,31353
2001,Illinois,Heart disease,30990
2012,Pennsylvania,Heart disease,30952
2002,Illinois,Heart disease,30821
2003,Ohio,Heart disease,30667
2001,United States,Suicide,30622
1999,Pennsylvania,Cancer,30312
2000,Pennsylvania,Cancer,30161
2001,Pennsylvania,Cancer,29914
2002,Pennsylvania,Cancer,29849
2003,Pennsylvania,Cancer,29841
2003,Illinois,Heart disease,29816
2005,Pennsylvania,Cancer,29616
2004,Pennsylvania,Cancer,29424
2000,United States,Suicide,29350
1999,United States,Suicide,29199
2006,Pennsylvania,Cancer,29172
2004,Ohio,Heart disease,29078
2010,Pennsylvania,Cancer,29055
2007,Pennsylvania,Cancer,29014
2005,Ohio,Heart disease,29003
2008,Pennsylvania,Cancer,28964
2012,Pennsylvania,Cancer,28909
2011,Pennsylvania,Cancer,28895
2009,Pennsylvania,Cancer,28881
2015,Pennsylvania,Cancer,28697
2014,Pennsylvania,Cancer,28692
2013,Pennsylvania,Cancer,28512
2016,Pennsylvania,Cancer,28492
2004,Illinois,Heart disease,28284
2005,Illinois,Heart disease,28226
2015,Ohio,Heart disease,28069
2006,Ohio,Heart disease,27886
1999,Michigan,Heart disease,27693
2016,Ohio,Heart disease,27410
2000,Michigan,Heart disease,27325
2008,Ohio,Heart disease,27324
2006,Illinois,Heart disease,27007
2014,Ohio,Heart disease,27000
2001,Michigan,Heart disease,26896
2013,Ohio,Heart disease,26878
2007,Ohio,Heart disease,26757
2002,Michigan,Heart disease,26659
2012,Ohio,Heart disease,26426
2011,Ohio,Heart disease,26298
2010,Ohio,Heart disease,26164
2008,Illinois,Heart disease,26078
2003,Michigan,Heart disease,26010
2007,Illinois,Heart disease,25813
2015,Illinois,Heart disease,25652
2016,Ohio,Cancer,25509
2009,Ohio,Heart disease,25453
2014,Ohio,Cancer,25433
2015,Ohio,Cancer,25396
2000,Illinois,Cancer,25365
2016,Michigan,Heart disease,25304
2012,Ohio,Cancer,25261
1999,Ohio,Cancer,25233
2007,Ohio,Cancer,25230
2002,Ohio,Cancer,25173
2009,Ohio,Cancer,25149
2011,Ohio,Cancer,25140
2005,Michigan,Heart disease,25128
2010,Ohio,Cancer,25083
2003,Ohio,Cancer,25076
2014,Illinois,Heart disease,25024
1999,Illinois,Cancer,25024
2016,Illinois,Heart disease,25013
2008,Ohio,Cancer,24998
2000,Ohio,Cancer,24988
2011,Illinois,Heart disease,24987
2013,Ohio,Cancer,24986
2006,Ohio,Cancer,24975
2010,Illinois,Heart disease,24959
2004,Ohio,Cancer,24940
2009,Illinois,Heart disease,24931
2013,Illinois,Heart disease,24839
2004,Michigan,Heart disease,24825
2001,Ohio,Cancer,24804
2015,Michigan,Heart disease,24794
2001,Illinois,Cancer,24778
2002,Illinois,Cancer,24737
2015,Illinois,Cancer,24713
2005,Ohio,Cancer,24702
2014,Michigan,Heart disease,24692
2012,Illinois,Heart disease,24667
2012,Illinois,Cancer,24562
2014,Illinois,Cancer,24501
2013,Illinois,Cancer,24491
2003,Illinois,Cancer,24464
2016,Illinois,Cancer,24389
2008,Michigan,Heart disease,24344
2008,Illinois,Cancer,24300
2004,Illinois,Cancer,24289
2006,Michigan,Heart disease,24255
2005,Illinois,Cancer,24250
2009,Illinois,Cancer,24185
2013,Michigan,Heart disease,24156
2007,Michigan,Heart disease,24149
2007,Illinois,Cancer,24115
2006,Illinois,Cancer,24084
2010,Illinois,Cancer,24070
2011,Illinois,Cancer,24007
2000,New Jersey,Heart disease,23724
2012,Michigan,Heart disease,23520
1999,New Jersey,Heart disease,23493
2011,Michigan,Heart disease,23358
2010,Michigan,Heart disease,23326
2009,Michigan,Heart disease,23099
2001,New Jersey,Heart disease,22704
2002,New Jersey,Heart disease,22510
2003,New Jersey,Heart disease,22043
2014,Michigan,Cancer,21169
2016,Michigan,Cancer,20870
2015,Michigan,Cancer,20732
2005,New Jersey,Heart disease,20655
2010,Michigan,Cancer,20620
2004,New Jersey,Heart disease,20560
2012,Michigan,Cancer,20496
2011,Michigan,Cancer,20420
2013,Michigan,Cancer,20367
2009,Michigan,Cancer,20257
2008,Michigan,Cancer,20211
2006,Michigan,Cancer,20192
2005,Michigan,Cancer,20094
2007,Michigan,Cancer,20087
2002,Michigan,Cancer,19985
2000,Michigan,Cancer,19798
1999,Michigan,Cancer,19744
2000,North Carolina,Heart disease,19723
2003,Michigan,Cancer,19713
2001,Michigan,Cancer,19689
2004,Michigan,Cancer,19653
2006,New Jersey,Heart disease,19548
2016,North Carolina,Cancer,19523
2014,North Carolina,Cancer,19342
2015,North Carolina,Cancer,19322
1999,North Carolina,Heart disease,19191
2008,New Jersey,Heart disease,19056
2007,New Jersey,Heart disease,18831
2001,North Carolina,Heart disease,18792
2010,New Jersey,Heart disease,18730
2003,North Carolina,Heart disease,18674
2015,New Jersey,Heart disease,18647
2016,New Jersey,Heart disease,18597
2013,North Carolina,Cancer,18589
2002,North Carolina,Heart disease,18524
2015,North Carolina,Heart disease,18474
2013,New Jersey,Heart disease,18460
2012,North Carolina,Cancer,18405
2012,New Jersey,Heart disease,18340
2011,New Jersey,Heart disease,18330
2014,New Jersey,Heart disease,18319
2011,North Carolina,Cancer,18284
2016,North Carolina,Heart disease,18266
2000,California,Stroke,18185
1999,New Jersey,Cancer,18178
2001,New Jersey,Cancer,18165
2016,Georgia,Heart disease,18143
2001,California,Stroke,18088
2009,New Jersey,Heart disease,18086
2000,New Jersey,Cancer,18073
2010,North Carolina,Cancer,18061
1999,Missouri,Heart disease,17974
1999,California,Stroke,17962
2003,New Jersey,Cancer,17957
2013,North Carolina,Heart disease,17830
2002,New Jersey,Cancer,17827
2015,Georgia,Heart disease,17769
2005,North Carolina,Heart disease,17765
2003,California,Stroke,17692
2002,California,Stroke,17626
2004,North Carolina,Heart disease,17607
1999,Georgia,Heart disease,17597
2014,North Carolina,Heart disease,17592
2002,Georgia,Heart disease,17529
2009,North Carolina,Cancer,17513
2001,Georgia,Heart disease,17478
2007,North Carolina,Cancer,17478
2008,North Carolina,Cancer,17453
2000,Georgia,Heart disease,17406
2007,North Carolina,Heart disease,17395
2012,North Carolina,Heart disease,17348
2008,North Carolina,Heart disease,17335
2006,North Carolina,Cancer,17318
2006,North Carolina,Heart disease,17271
2000,Missouri,Heart disease,17235
2004,New Jersey,Cancer,17208
2009,North Carolina,Heart disease,17203
2003,Georgia,Heart disease,17188
2016,Georgia,Cancer,17184
2006,New Jersey,Cancer,17180
2005,New Jersey,Cancer,17171
2010,North Carolina,Heart disease,17154
2014,Georgia,Heart disease,17107
2007,New Jersey,Cancer,17096
2011,North Carolina,Heart disease,17003
2015,Georgia,Cancer,16945
2004,California,Stroke,16882
2008,New Jersey,Cancer,16876
2010,New Jersey,Cancer,16815
2005,Georgia,Heart disease,16781
2005,North Carolina,Cancer,16724
2002,Missouri,Heart disease,16708
2011,New Jersey,Cancer,16708
2014,Georgia,Cancer,16684
1999,Indiana,Heart disease,16661
2001,Missouri,Heart disease,16633
2014,New Jersey,Cancer,16591
2004,Georgia,Heart disease,16557
2013,Georgia,Heart disease,16550
2009,New Jersey,Cancer,16541
2012,New Jersey,Cancer,16485
2006,Georgia,Heart disease,16478
2004,North Carolina,Cancer,16477
2013,Georgia,Cancer,16417
2003,Missouri,Heart disease,16410
2016,New Jersey,Cancer,16377
2013,New Jersey,Cancer,16315
1999,Tennessee,Heart disease,16280
2015,New Jersey,Cancer,16270
2002,Tennessee,Heart disease,16226
2002,North Carolina,Cancer,16210
2000,Indiana,Heart disease,16210
2007,Georgia,Heart disease,16184
2000,Tennessee,Heart disease,16174
2009,Georgia,Heart disease,16165
2003,North Carolina,Cancer,16145
2001,North Carolina,Cancer,16065
2012,Georgia,Cancer,16021
2010,Georgia,Heart disease,15987
2003,Tennessee,Heart disease,15919
1999,Massachusetts,Heart disease,15871
2012,Georgia,Heart disease,15825
1999,North Carolina,Cancer,15815
2000,North Carolina,Cancer,15786
2011,Georgia,Heart disease,15773
2015,Tennessee,Heart disease,15730
2008,Georgia,Heart disease,15721
2001,Tennessee,Heart disease,15688
2001,Indiana,Heart disease,15682
2016,California,Stroke,15680
2011,Georgia,Cancer,15602
2005,California,Stroke,15585
2016,California,Alzheimer's disease,15570
2004,Missouri,Heart disease,15500
2003,Indiana,Heart disease,15467
2010,Georgia,Cancer,15435
2016,Tennessee,Heart disease,15429
1999,Virginia,Heart disease,15329
2002,Indiana,Heart disease,15321
2000,Massachusetts,Heart disease,15314
2000,Virginia,Heart disease,15264
2014,Tennessee,Heart disease,15223
2001,Massachusetts,Heart disease,15144
2009,Georgia,Cancer,15143
2015,California,Stroke,15065
2015,California,Alzheimer's disease,15065
2006,California,Stroke,15039
2004,Tennessee,Heart disease,15038
2016,Virginia,Cancer,15027
2007,Georgia,Cancer,14983
2005,Missouri,Heart disease,14974
2002,Virginia,Heart disease,14952
2015,Virginia,Cancer,14947
2005,Tennessee,Heart disease,14946
2001,Virginia,Heart disease,14913
2015,Missouri,Heart disease,14808
2013,Tennessee,Heart disease,14803
2003,Virginia,Heart disease,14756
2006,Missouri,Heart disease,14749
2014,Virginia,Cancer,14749
2002,Massachusetts,Heart disease,14736
2008,Tennessee,Heart disease,14661
2008,Missouri,Heart disease,14644
2006,Tennessee,Heart disease,14642
2004,Indiana,Heart disease,14636
2003,Massachusetts,Heart disease,14634
2008,Georgia,Cancer,14621
2010,Tennessee,Heart disease,14582
2016,Missouri,Heart disease,14579
2007,California,Stroke,14557
2005,Indiana,Heart disease,14542
2006,Georgia,Cancer,14474
2012,Tennessee,Heart disease,14454
2016,Tennessee,Cancer,14450
2013,Virginia,Cancer,14414
2011,Virginia,Cancer,14376
2006,Indiana,Heart disease,14375
2005,Georgia,Cancer,14358
2014,Missouri,Heart disease,14338
2007,Missouri,Heart disease,14338
2004,Georgia,Cancer,14313
2012,Virginia,Cancer,14294
2004,Virginia,Heart disease,14284
2007,Tennessee,Heart disease,14280
2009,Tennessee,Heart disease,14257
2011,Tennessee,Heart disease,14235
2015,Tennessee,Cancer,14214
2005,Virginia,Heart disease,14192
2014,Tennessee,Cancer,14173
2016,Virginia,Heart disease,14124
2009,Virginia,Cancer,14122
2013,Missouri,Heart disease,14095
2010,Virginia,Cancer,14080
2015,Virginia,Heart disease,14077
2008,California,Stroke,14048
2003,Georgia,Cancer,14032
2000,Massachusetts,Cancer,14027
2006,Virginia,Heart disease,14021
2007,Virginia,Cancer,14009
2008,Virginia,Cancer,13983
2002,Georgia,Cancer,13975
2013,Tennessee,Cancer,13953
2016,Indiana,Heart disease,13952
2015,Indiana,Heart disease,13948
2009,Missouri,Heart disease,13916
2002,Massachusetts,Cancer,13914
2005,Virginia,Cancer,13877
2014,Virginia,Heart disease,13874
1999,Massachusetts,Cancer,13853
2010,Missouri,Heart disease,13840
2006,Virginia,Cancer,13829
1999,Wisconsin,Heart disease,13827
2004,Massachusetts,Heart disease,13824
2001,Georgia,Cancer,13818
2011,Missouri,Heart disease,13810
2003,Virginia,Cancer,13781
2013,Indiana,Heart disease,13773
2012,Tennessee,Cancer,13765
2014,Indiana,Heart disease,13764
2007,Virginia,Heart disease,13750
2001,Massachusetts,Cancer,13750
2012,Missouri,Heart disease,13742
2014,California,Stroke,13731
2016,California,CLRD,13710
2013,California,Stroke,13698
2000,Georgia,Cancer,13690
2007,Indiana,Heart disease,13682
2012,Indiana,Heart disease,13675
2008,Virginia,Heart disease,13675
2013,Virginia,Heart disease,13663
2008,Indiana,Heart disease,13663
2010,California,Stroke,13662
2015,California,CLRD,13621
2002,Virginia,Cancer,13602
2000,Wisconsin,Heart disease,13601
2013,California,CLRD,13598
2010,Tennessee,Cancer,13593
2011,Tennessee,Cancer,13562
2003,Massachusetts,Cancer,13551
2012,California,Stroke,13542
2000,Virginia,Cancer,13528
2014,Indiana,Cancer,13519
2015,Indiana,Cancer,13511
2009,Indiana,Heart disease,13509
2009,California,Stroke,13506
2011,California,Stroke,13503
2009,Tennessee,Cancer,13482
2003,California,CLRD,13448
2008,California,CLRD,13426
2016,Indiana,Cancer,13424
1999,Alabama,Heart disease,13419
2006,Massachusetts,Cancer,13407
2000,Alabama,Heart disease,13406
2010,Virginia,Heart disease,13404
2009,Virginia,Heart disease,13397
2010,Indiana,Heart disease,13388
2012,Virginia,Heart disease,13386
2004,Virginia,Cancer,13385
2011,Indiana,Heart disease,13372
2012,Indiana,Cancer,13368
1999,Virginia,Cancer,13365
2011,California,CLRD,13357
2001,Virginia,Cancer,13345
2004,Massachusetts,Cancer,13337
2005,Massachusetts,Heart disease,13280
2011,Virginia,Heart disease,13272
2013,Indiana,Cancer,13258
1999,Georgia,Cancer,13225
2016,California,Unintentional injuries,13213
2001,Alabama,Heart disease,13207
2002,Alabama,Heart disease,13197
2005,California,CLRD,13188
2005,Massachusetts,Cancer,13182
2011,Indiana,Cancer,13180
1999,California,CLRD,13165
2010,Indiana,Cancer,13164
2008,Tennessee,Cancer,13162
2007,Tennessee,Cancer,13161
2003,Alabama,Heart disease,13150
2008,Indiana,Cancer,13137
2009,Massachusetts,Cancer,13112
2009,Indiana,Cancer,13093
2014,Missouri,Cancer,13067
2006,Tennessee,Cancer,13051
2008,Massachusetts,Cancer,13031
2001,Wisconsin,Heart disease,13023
2007,Massachusetts,Cancer,13003
2005,Tennessee,Cancer,12995
2010,Massachusetts,Cancer,12993
2010,California,CLRD,12987
2015,Alabama,Heart disease,12981
2001,California,CLRD,12965
2015,Missouri,Cancer,12965
2012,California,CLRD,12963
2013,Missouri,Cancer,12955
2006,Massachusetts,Heart disease,12947
2009,California,CLRD,12936
2003,Indiana,Cancer,12933
2002,Wisconsin,Heart disease,12923
2012,Missouri,Cancer,12919
2006,Indiana,Cancer,12903
1999,Indiana,Cancer,12898
2011,Massachusetts,Cancer,12895
2005,Alabama,Heart disease,12869
2002,Indiana,Cancer,12865
2012,Massachusetts,Cancer,12864
2013,Massachusetts,Cancer,12858
2000,Indiana,Cancer,12842
2016,Alabama,Heart disease,12832
2001,Indiana,Cancer,12831
2006,California,CLRD,12829
2005,Indiana,Cancer,12796
2014,Massachusetts,Cancer,12787
2014,California,CLRD,12780
2007,Indiana,Cancer,12778
2008,Massachusetts,Heart disease,12776
2004,Alabama,Heart disease,12774
2000,California,CLRD,12756
2015,Massachusetts,Cancer,12750
2016,Massachusetts,Cancer,12717
2007,Massachusetts,Heart disease,12710
2016,Missouri,Cancer,12696
2015,Washington,Cancer,12687
2002,California,CLRD,12684
2014,California,Alzheimer's disease,12644
2010,Missouri,Cancer,12626
2003,Tennessee,Cancer,12613
2016,Washington,Cancer,12594
2004,Tennessee,Cancer,12586
2006,Alabama,Heart disease,12583
2016,Florida,Unintentional injuries,12561
2004,Indiana,Cancer,12552
2015,California,Unintentional injuries,12544
2007,California,CLRD,12532
2008,Missouri,Cancer,12523
2004,California,CLRD,12522
2006,Missouri,Cancer,12519
2002,Tennessee,Cancer,12518
2003,Wisconsin,Heart disease,12479
2011,Missouri,Cancer,12473
2013,Alabama,Heart disease,12472
2009,Missouri,Cancer,12472
2014,Alabama,Heart disease,12461
2004,Missouri,Cancer,12450
2005,Missouri,Cancer,12419
2007,Missouri,Cancer,12380
2001,Missouri,Cancer,12365
2003,Missouri,Cancer,12354
2000,Maryland,Heart disease,12348
2000,Tennessee,Cancer,12339
2002,Missouri,Cancer,12322
2009,Massachusetts,Heart disease,12322
2001,Maryland,Heart disease,12310
2001,Tennessee,Cancer,12229
2014,Washington,Cancer,12205
1999,Missouri,Cancer,12186
2003,Maryland,Heart disease,12164
2000,Missouri,Cancer,12144
2015,Massachusetts,Heart disease,12130
1999,Kentucky,Heart disease,12098
2010,Alabama,Heart disease,12083
1999,Maryland,Heart disease,12080
2008,Alabama,Heart disease,12074
2010,Massachusetts,Heart disease,12043
2012,Alabama,Heart disease,12036
2013,Massachusetts,Heart disease,12023
2009,Alabama,Heart disease,12021
2002,Maryland,Heart disease,12008
1999,Louisiana,Heart disease,12007
2011,Washington,Cancer,12002
2016,Florida,CLRD,11970
2016,Arizona,Heart disease,11957
2012,Washington,Cancer,11952
1999,Tennessee,Cancer,11943
2011,Alabama,Heart disease,11942
2000,Kentucky,Heart disease,11936
2013,Washington,Cancer,11928
2007,Alabama,Heart disease,11926
2009,Washington,Cancer,11922
2016,Massachusetts,Heart disease,11921
2004,Wisconsin,Heart disease,11909
2013,California,Alzheimer's disease,11891
2016,Arizona,Cancer,11876
2010,Washington,Cancer,11874
2016,Florida,Stroke,11854
2005,Wisconsin,Heart disease,11842
2014,Massachusetts,Heart disease,11817
2001,Kentucky,Heart disease,11808
2014,California,Unintentional injuries,11804
2015,Arizona,Cancer,11776
2011,Massachusetts,Heart disease,11765
2015,Florida,CLRD,11705
2002,Kentucky,Heart disease,11696
2012,California,Alzheimer's disease,11649
2000,Louisiana,Heart disease,11629
2008,Washington,Cancer,11618
2007,California,Unintentional injuries,11614
2011,Wisconsin,Cancer,11608
2012,Massachusetts,Heart disease,11602
2005,Maryland,Heart disease,11594
2007,Washington,Cancer,11568
